color,color_name,hex,R,G,B,simplified_color
green_munsell,Green (Munsell),#00a877,0,168,119,Green
green_ncs,Green (Ncs),#009f6b,0,159,107,Green
green_pigment,Green (Pigment),#00a550,0,165,80,Green
green_ryb,Green (Ryb),#66b032,102,176,50,Green
green_yellow,Green-Yellow,#adff2f,173,255,47,Green
guppie_green,Guppie Green,#00ff7f,0,255,127,Green
han_blue,Han Blue,#446ccf,68,108,207,Blue
han_purple,Han Purple,#5218fa,82,24,250,Purple
honolulu_blue,Honolulu Blue,#007fbf,0,127,191,Blue
hooker_s_green,Hooker'S Green,#49796b,73,121,107,Green
hot_pink,Hot Pink,#ff69b4,255,105,180,Pink
hunter_green,Hunter Green,#355e3b,53,94,59,Green
imperial_blue,Imperial Blue,#002395,0,35,149,Blue
india_green,India Green,#138808,19,136,8,Green
indian_red,Indian Red,#cd5c5c,205,92,92,Red
indian_yellow,Indian Yellow,#e3a857,227,168,87,Yellow
international_klein_blue,International Klein Blue,#002fa7,0,47,167,Blue
international_orange_aerospace,International Orange (Aerospace),#ff4f00,255,79,0,Orange
international_orange_engineering,International Orange (Engineering),#ba160c,186,22,12,Orange
international_orange_golden_gate_bridge,International Orange (Golden Gate Bridge),#c0362c,192,54,44,Orange
islamic_green,Islamic Green,#009000,0,144,0,Green
jungle_green,Jungle Green,#29ab87,41,171,135,Green
kelly_green,Kelly Green,#4cbb17,76,187,23,Green
la_salle_green,La Salle Green,#087830,8,120,48,Green
laurel_green,Laurel Green,#a9ba9d,169,186,157,Green
lavender_blue,Lavender Blue,#ccf,204,204,255,Blue
lavender_gray,Lavender Gray,#c4c3d0,196,195,208,Gray
lavender_pink,Lavender Pink,#fbaed2,251,174,210,Pink
lavender_purple,Lavender Purple,#967bb6,150,123,182,Purple
lawn_green,Lawn Green,#7cfc00,124,252,0,Green
light_blue,Light Blue,#add8e6,173,216,230,Blue
light_brown,Light Brown,#b5651d,181,101,29,Brown
light_carmine_pink,Light Carmine Pink,#e66771,230,103,113,Pink
light_cornflower_blue,Light Cornflower Blue,#93ccea,147,204,234,Blue
light_fuchsia_pink,Light Fuchsia Pink,#f984ef,249,132,239,Pink
light_goldenrod_yellow,Light Goldenrod Yellow,#fafad2,250,250,210,Yellow
light_gray,Light Gray,#d3d3d3,211,211,211,Gray
light_green,Light Green,#90ee90,144,238,144,Green
light_pastel_purple,Light Pastel Purple,#b19cd9,177,156,217,Purple
light_pink,Light Pink,#ffb6c1,255,182,193,Pink
light_red_ochre,Light Red Ochre,#e97451,233,116,81,Red
light_salmon_pink,Light Salmon Pink,#f99,255,153,153,Pink
light_sea_green,Light Sea Green,#20b2aa,32,178,170,Green
light_sky_blue,Light Sky Blue,#87cefa,135,206,250,Blue
light_slate_gray,Light Slate Gray,#789,119,136,153,Gray
light_yellow,Light Yellow,#ffffe0,255,255,224,Yellow
lime_green,Lime Green,#32cd32,50,205,50,Green
lincoln_green,Lincoln Green,#195905,25,89,5,Green
little_boy_blue,Little Boy Blue,#6ca0dc,108,160,220,Blue
majorelle_blue,Majorelle Blue,#6050dc,96,80,220,Blue
maya_blue,Maya Blue,#73c2fb,115,194,251,Blue
meat_brown,Meat Brown,#e5b73b,229,183,59,Brown
medium_blue,Medium Blue,#0000cd,0,0,205,Blue
medium_candy_apple_red,Medium Candy Apple Red,#e2062c,226,6,44,Red
medium_electric_blue,Medium Electric Blue,#035096,3,80,150,Blue
medium_jungle_green,Medium Jungle Green,#1c352d,28,53,45,Green
medium_persian_blue,Medium Persian Blue,#0067a5,0,103,165,Blue
medium_purple,Medium Purple,#9370db,147,112,219,Purple
medium_red_violet,Medium Red-Violet,#bb3385,187,51,133,Red
medium_sea_green,Medium Sea Green,#3cb371,60,179,113,Green
medium_slate_blue,Medium Slate Blue,#7b68ee,123,104,238,Blue
medium_spring_green,Medium Spring Green,#00fa9a,0,250,154,Green
medium_tuscan_red,Medium Tuscan Red,#79443b,121,68,59,Red
medium_violet_red,Medium Violet-Red,#c71585,199,21,133,Red
mellow_yellow,Mellow Yellow,#f8de7e,248,222,126,Yellow
midnight_blue,Midnight Blue,#191970,25,25,112,Blue
midnight_green_eagle_green,Midnight Green (Eagle Green),#004953,0,73,83,Green
mikado_yellow,Mikado Yellow,#ffc40c,255,196,12,Yellow
mint_green,Mint Green,#98ff98,152,255,152,Green
moonstone_blue,Moonstone Blue,#73a9c2,115,169,194,Blue
mordant_red_19,Mordant Red 19,#ae0c00,174,12,0,Red
moss_green,Moss Green,#addfad,173,223,173,Green
mountbatten_pink,Mountbatten Pink,#997a8d,153,122,141,Pink
msu_green,Msu Green,#18453b,24,69,59,Green
nadeshiko_pink,Nadeshiko Pink,#f6adc6,246,173,198,Pink
napier_green,Napier Green,#2a8000,42,128,0,Green
naples_yellow,Naples Yellow,#fada5e,250,218,94,Yellow
navajo_white,Navajo White,#ffdead,255,222,173,White
navy_blue,Navy Blue,#000080,0,0,128,Blue
neon_green,Neon Green,#39ff14,57,255,20,Green
new_york_pink,New York Pink,#d7837f,215,131,127,Pink
non_photo_blue,Non-Photo Blue,#a4dded,164,221,237,Blue
north_texas_green,North Texas Green,#059033,5,144,51,Green
ocean_boat_blue,Ocean Boat Blue,#0077be,0,119,190,Blue
orange_color_wheel,Orange (Color Wheel),#ff7f00,255,127,0,Orange
